ext_id,price,processed_ontology,size,special_price
6832,430,tops,,
7369,610,skirts,,
11361,440,tops,,
14083,1140,drinkware,,
12908,1290,tops,"XS,S,M,L,XL",645
11462,1340,tops,"XS,S,M,L,XL",440
10383,2830,flats,"36,37,38,39,40,41",990
14379,2340,skirt,"XS,S,M,L,XL,XXL",
8546,2630,women_swimwear,"XS,S,M,L",1970
13438,3490,skirt,S,1745
12669,2490,bedroom_and_living_room,,
12724,2490,mirror,,
12735,2490,bags,,
12826,490,jewelry,,
11031,1890,serveware,,
11993,990,jewelry,,
12004,1868,serveware,,
12001,1140,drinkware,,
243,890,wall_art,,
4241,850,cushions,,
5345,1200,,,
8373,790,drinkware,,
8420,8000,tableware,,
9184,3980,serveware,,
12248,2290,jewelry,,
12128,2490,serveware,,
12129,1290,serveware,,
12238,1190,headbands,,
12242,1740,jewelry,,
12245,1940,jewelry,,
9416,9900,wall_art,,
9673,690,candles,,
9675,510,candles,,
9676,510,candles,,
12727,1990,house__home,,995
14468,1,,36,
13662,4990,accessories>others,,
13663,4990,accessories>others,,
12074,2190,serveware,,
13956,1690,tops,L,
9100,4200,home_decor,,2100
12496,990,organisation__storage,,495
11434,5000,jewelry,,
12957,1240,jewelry,,620
11437,7500,jewelry,,
12952,2290,jewelry,,1145
12771,1490,tops,,1043
12835,1790,flats,39,895
14195,1840,tops,,
14197,1840,tops,,
11098,860,jewelry,,
11404,540,jewelry,,
2013,400,nightwear,,
12403,2640,jewelry,,
6962,480,jewelry,,
12247,1690,jewelry,,
12955,2690,jewelry,,
6969,730,flats,,
10451,1190,jewelry,,
7706,270,jewelry,,
9720,790,jewelry,,
6603,520,flats,,
9293,290,headbands,,
10622,810,jewelry,,
3981,290,tops,,
7026,590,dresses,,
12235,1190,headbands,,
3916,540,pants,,
5846,340,jewelry,,
2506,370,nightwear,,
11420,2840,jewelry,,
3365,1240,heels,,
6143,760,flats,,
8153,540,flats,,
7195,770,flats,,
11403,710,jewelry,,
2788,560,pants,,
2213,650,shorts,,
7294,590,tops,,
1969,1650,women_swimwear,,
8590,1310,tops,,
10670,1010,bags,,
9229,2500,accessories>others,,
6325,840,bags,,
11584,2740,bags,,
11347,2940,bags,,
11682,3290,bags,,
12135,1490,bags,,
12489,1340,belts,,
7257,400,dresses,,
10535,1790,bags,,
10669,1008,bags,,
1704,710,tops,,
8910,740,skirts,,
9003,630,belts,,
9351,990,tops,,
11096,1494,bags,,
9228,2500,accessories>others,,
7774,370,bags,,
10791,3890,women_swimwear,,
10779,3890,women_swimwear,,
12419,3840,women_swimwear,,
12009,1868,serveware,,
12668,2490,bedroom_and_living_room,,
9823,710,cushions,,
11794,590,dresses,,
12500,973,,,
219,350,cushions,,
13867,500,,,
7308,590,skirts,,
11940,1090,vases_and_accessories,,
14189,1390,bed_linen,,
2826,500,,,
2828,500,,,
2827,500,,,
11341,640,tops,,
10258,1290,dresses,,
9760,560,tops,,
8885,470,tops,,
9698,540,tops,,
7861,570,tops,,
7947,490,tops,,
9168,620,pants,,
9392,1110,skirts,,
2608,790,tops,,
2798,600,skirts,,
12717,795,tops,,
